Address;Title;Description;Rooms;Living Space (sqm);Price;Nearest Station Distance (m);Station Canton
1852 Roche VD;Toute nouvelle promo à Roche !;Roche VD, en plein coeur...Le lac d'un côté, les montagnes tout autour...Avec toutes les facilités de services que l'on connaît,Une nouvelle promotion va voir le jour...Un immeuble de 6 appartements : 5 appartements de 2.5 pièces dont 1 dans les combles et 1 avec jardin 1 appartement de 4,5 pièces dans les comblesTous les appartements bénéficient d'un balcon ou d'une terrasse.De 2 à 3 chambres selon la taille de votre appartement, armoire murale à l'entrée, salle d'eau avec douche ou baignoire, wc/visiteurs, et une cuisine ouverte sur un bel espace de vie très lumineux grâce aux belles ouvertures.Une cave est définie pour chaque lot, et vos voitures auront leur place respective sous couvert au prix de Fr. 25'000.- en sus du prix de vente.Ici, il s'agit du lot no 5, un 2.5 pièces en attique (dans les combles) !Questions commodités : bus, gare, accès autoroute, école, magasins, lac et montagnes !Les finitions sont au gré du preneur et la livraison prévue 18 mois dès l'ouverture du chantier.Vous avez des questions, appelez-moi !;2.5;54.0;696570.0;4601.0;Vaud
Grand Champsec, 1950 Sion;Lot J-402 - Appartement de 2.5 pces en attique;"Fitness, sauna, salle de jeux et de réunion, potagers et plus encore...L'écoquartier « Greenparc » se situe dans le quartier de Champsec à Sion, à proximité de toutes les commodités et des transports publics.Véritable écrin de verdure intégré au tissu urbain, ce projet composé de 8 immeubles à haute efficacité énergétique et à l'architecture épurée propose 191 appartements allant du studio au 4.5 pièces, spacieux et confortables.Vous y trouverez certainement votre futur cocon ! *** PHASE II - Spécial investisseur ***Vous cherchez à investir dans l'immobilier, découvrez de suite les nombreux studios à acheter.La liste des appartements disponibles peut être consultée sur www.greenparc.immo.***Le lot J-402 est un appartement de 2.5 pces de 79 m2 au 4ème et dernier étage, avec une terrasse de 116 m2, distribué comme suit :. hall d'entrée. une cuisine ouverte sur le séjour donnant accès à la terrasse. une chambre à coucher avec salle de bain attenante et un accès à la terrasse. une chambre donnant sur la terrasse. une salle de bain avec douche, WC et un espace pour la colonne de lavageEn annexe : Place(s) de parking intérieure(s) prédéfinie(s) (en sus du prix) ; numéro(s), emplacement(s) et dimension(s) à consulter auprès de notre agence.";2.5;62.0;943950.0;2361.0;Valais
1347 Le Sentier;NOUVELLE PROMOTION LA GOLISSE;;2.5;59.0;787710.0;179.0;Waadt
6528 Camorino;3.5 locali di nuova costruzione con giardino;3.5 locali con giardino in una zona residenziale, pianeggiante, verdeggiante e a bassa densità di insediamento, a pochi minuti dal centro di Bellinzona, dalle scuole, dall’ufficio postale, dai negozi di alimentari e generi di primo consumo.Situato al piano terra di una residenza di nuova costruzione che si sviluppa su soli 2 piani, l’appartamento dispone di un grazioso giardino privato e di una terrazza.Gli ambienti interni sono composti da salone con cucina a vista e ampie vetrate che conducono alla terrazza, un servizio per gli ospiti con antibagno con predisposizione per lavatrice e asciugatrice, una camera matrimoniale con bagno privato.I lavori di costruzione sono iniziati e la consegna è prevista entro la primavera del 2024. E’ possibile fissare un appuntamento in cantiere per una presentazione del progetto.Le finiture sono di ottima qualità e personalizzabili durante le fasi di costruzione e prevedono: pavimenti in gres porcellanato nella zona giorno e nei bagni, cucina con elettrodomestici di ultima generazione. Serramenti saranno in PVC con triplo vetro e lamelle elettriche regolabili e motorizzate. È previsto l’allacciamento alle linee Swisscom e Cablecom.1 cantina è inclusa nel prezzo di vendia e 1 posto auto in autorimessa (40.000 chf).Questo immobile fa parte della Residenza al Parco, un insediamento residenziale moderno e in fase di edificazione nel comune di Camorino. Il progetto si compone di cinque stabili disposti su due linee che nell’insieme creano e proteggono un parco condominiale.L’edificio è dotato di impianti di ultima generazione che permettono di contenere i consumi e ridurre l’impatto sull’ambiente. Il riscaldamento è prodotto da una termopompa aria-acqua. Inoltre, parte del fabbisogno dei consumi energetici viene prodotto tramite un impianto fotovoltaico.MISUREAppartamento: 53.41 mqTerrazza: 8.67 mqGiardino: 16.85 mqSuperficie commerciale: 41.43 mqRif: PAR-PPP23Sono disponibili nella stessa residenza altri appartamenti di differenti tipologie.;3.5;41.0;459600.0;1635.0;Tessin
Neumattweg 2, 8967 Widen;Panorama-Wohnen nahe Zürich: Modernes DEFH mit fantastischer Besonnung;;3.5;300.0;2825340.0;2181.0;Aargau
8045 Zürich;Hillview-Park: 3.5-Zimmer-Etagenwohnung Rechts;"Nur 15 Minuten von der Stadt Zürich entfernt:Die 160 m2 grosse, 3.5-Zimmer-Gartenwohnung, profitiert von einer 14 m2 grossen Aussenfläche und 30m2 Terrassenfläche mit Weitsicht auf die Landwirtschaftszone.Zudem geniesst man einen sensationellen Ausblick Richtung Reusstal, Lindenbergund die Alpen.Die Gartenanlage des ""Hillview-Park"" präsentiert sichals Ort der Ruhe und Begegnung. Der naturierte Schwimmteich steht den Eigentümern exklusiv zur Verfügung.Die lichtverwöhnten Eigentumswohnungen im ""Hillview-Park"" präsentieren weite Wohn- /Essbereiche mit offenenDesignerküchen und einen ausgewählten Innenausbau.Hier wurde weder an Quadratmetern noch an Ausbaubudgetgespart. Master-Schlafzimmer mit luxuriösen En-Suite-Badezimmern, Zweit- und auf Wunsch Drittbäder,elegante Einbauschränke und Réduits mit Waschtürmenund viel Stauraum zeugen von umfassender Grosszügigkeit.Die französischen Balkone wirken edel und lassendas Licht weit in die Räume fluten. Hochwertige Böden,ein ausgewähltes und zugleich funktionales Innendesign,das Free Cooling zur energiesparenden Bodenkühlungim Sommer, die barrierefreie Bauweise und der exklusiveAusbaustandard genügen höchsten Ansprüchen. Zur automatischen Vernetzung Ihrer Geräte sorgtauf Wunsch für ein noch bequemeres Wohnerlebnis.Die vorgesehenen hohen Budgetbeträge für Ausbau undMaterialien von Böden, Bädern und Küchen erlauben dasUmsetzen von exklusiven Ideen für das Innendesign. Beieinem frühzeitigen Kaufentscheid können zudem individuelleAnpassungswünsche bei der Grundrissgestaltungberücksichtigt werden.Die Garagenplätzesind im Kaufpreis nicht inbegriffen, pro Einheit stehenmindestens zwei Garagenplätze zum Kauf. Hier gelangen Sie zu den Preisen und weiteren Informationen zu Hillview-Park:https://hillview-park.ch/projekt/Wir freuen uns darauf, Ihnen dieses einzigartige Projekt persönlich zu präsentieren.";3.5;160.0;2369640.0;2579.0;Zürich
3977 Granges VS;Appartement 3.5 dans Immeuble moderne et design avec grande terrasse;Nouvelle promotion de 24 appartements répartis dans 2 immeubles, sur une parcelle de 2'632.00 m2.Studios (2), 3.5 pièces (4), 3.5 pièces (12)et 4.5 pièces (6) se répartissent sur les 2 bâtiments (13 appartements dans l'immeuble Nord et 11 appartements dans le Sud).DESCRIPTIF Cet appartement de 3.5 pièces se compose comme suit : - Une salle à manger- Une cuisine ouverte (ilot central et armoire encastrée)- Spacieux et lumineux séjour avec accès au balcon-terrasse- Une salle de bains (douche ou baignoire à choix) avec emplacement pour la colonne de lavage- 1 chambres à coucher- Cave en rez-de-chaussée- Balcon (8,35 m2)Le Village de Granges se trouve dans le district de Sierre et à quelques minutes de son centre. Ce petit village valaisan se situe dans la vallée du Rhône, à quelques kilomètres de sa capitale Sion (15 minutes). Sierre, que l'on surnomme également la « Cité du Soleil » est la 4ème plus grande ville du canton. De Granges, 25 minutes de voiture suffisent pour arriver à Crans-Montana ou Vercorin et ses belles pistes de ski. L'emplacement de cette maison offre le confort et la proximite de la vie citadine. Il permet egalement de se ressourcer grace a ses magnifiques vues sur les alpes valaisannes.CARACTERISTIQUES :- TOP EMPLACEMENT- Tranquillité, calme - Ensoleillement optimal- Espaces verts et place de jeux pour enfants- Chauffage au sol- Cuisine entièrement équipée- Spacieux séjours avec accès terrasse ou balcon- Ascenseur aux normes handicapes- ...COMMODITES- Sierre Centre (10 minutes)- Sion Centre (15 minutes)- Commerces à proximité- Autoroute à 3 km- Arrêt du bus à proximitéPARKINGATTENTION, PAS DE PLACES DE PARC PREVUES POUR CE LOT !Les finitions sont au gré du preneur, selon les budgets alloués.Plans et plaquette de vente sur demande. N'hésitez pas à nous contacter pour toutes informations supplémentaires.Chez nous, la curiosité est un joli défaut ! Appelez- nous pour une visite ! ***RETROUVEZ TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH***;3.5;54.0;423150.0;4931.0;Wallis
1907 Saxon;2.5 pièces au 1er étage !;"LE CHANTIER A DÉMARRÉBerra Immobilier vous propose aujourd'hui plusieurs appartements situés dans 2 immeubles différents. Cette PPE se composera d'un immeuble de 9 appartements et d'un immeuble de 15 appartements. Les 2 bâtiments sont accessibles par le grand parking commun souterrain et par 2 entrées extérieures séparées.Situé dans un quartier calme, avec une vue dégagée et proche de toutes les commodités, ces futures habitations sauront vous séduire par leur volumes, design et luminosité.CARACTÉRISTIQUES- Qualité/Prix très intéressant- Places de parc en suffisance- Proche de toutes commodités- Lumineux et ensoleillé- PAC et panneaux solaires- Chauffage au sol- Espace de jeux commun- Emplacement pour colonne de lavage dans tous les appartements- Grands balcons ou terrasses- ...DISTRIBUTION DE L'APPARTEMENT- Entrée avec armoire intégrée- Salle de bain, WC et lavabo- Deux chambres- Pièce à vivre avec cuisine ouverte et accès à la terrasse- Terrasse (20m2)TRAVAUX - FINITIONSFinitions au gré des preneurs (carrelage, parquet, cuisine, sanitaires, etc...) selon budgets définis par la promotionTECHNIQUE- Panneaux solaires- Pompe à chaleur- Contracting avec la SEIC- Distribution par le sol- Double vitrage- Porte coulissante à levage pour le séjour- Normes SIAChaque appartement dispose d'une cave privative (inclus dans le prix) et d'une ou plusieurs places de parc (en sus).COMMODITÉS- Proche de toutes les commodités- Gare ferroviaire de Saxon à 5 minutes à pied- Magasins, école, banques, ... à proximité- Entrée d'autoroute à 3 minutesEXTÉRIEURS &amp; PARKING- Espace de jeu pour enfants commun aux 2 immeubles- Grand parking souterrain- 1 place de parc intérieure : Chf 30'000.- pièce, en sus et obligatoire- Plusieurs places visiteurs extérieures (aucune en vente)Plaquette et plans sur demande uniquement !Chez nous, la curiosité est un joli défaut ! N'hésitez pas à me contacter pour une visite au 079 464 11 35 (Cyril)!!! RETROUVEZ TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH !!!";2.5;60.0;566370.0;9399.0;Valais
Unterdorfstrasse, 8966 Oberwil-Lieli;Hillview-Park: 3.5-Zimmer-Attika-Wohnung 3. OG Rechts;"Nur 15 Minuten von der Stadt Zürich entfernt:Die 150 m2 grosse, 3.5-Zimmer-Attika-Wohnung, profitiert von einer 15 m2 grossen Loggia Fläche mit Weitsicht auf die Landwirtschaftszone.Zudem geniesst man einen sensationellen Ausblick Richtung Reusstal, Lindenbergund die Alpen.Die Gartenanlage des ""Hillview-Park"" präsentiert sichals Ort der Ruhe und Begegnung. Der naturierte Schwimmteich steht den Eigentümern exklusiv zur Verfügung.Die lichtverwöhnten Eigentumswohnungen im ""Hillview-Park"" präsentieren weite Wohn- /Essbereiche mit offenenDesignerküchen und einen ausgewählten Innenausbau.Hier wurde weder an Quadratmetern noch an Ausbaubudgetgespart. Master-Schlafzimmer mit luxuriösen En-Suite-Badezimmern, Zweit- und auf Wunsch Drittbäder,elegante Einbauschränke und Réduits mit Waschtürmenund viel Stauraum zeugen von umfassender Grosszügigkeit.Die französischen Balkone wirken edel und lassendas Licht weit in die Räume fluten. Hochwertige Böden,ein ausgewähltes und zugleich funktionales Innendesign,das Free Cooling zur energiesparenden Bodenkühlungim Sommer, die barrierefreie Bauweise und der exklusiveAusbaustandard genügen höchsten Ansprüchen. Zur automatischen Vernetzung Ihrer Geräte sorgtauf Wunsch für ein noch bequemeres Wohnerlebnis.Die vorgesehenen hohen Budgetbeträge für Ausbau undMaterialien von Böden, Bädern und Küchen erlauben dasUmsetzen von exklusiven Ideen für das Innendesign. Beieinem frühzeitigen Kaufentscheid können zudem individuelleAnpassungswünsche bei der Grundrissgestaltungberücksichtigt werden.Die Garagenplätzesind im Kaufpreis nicht inbegriffen, pro Einheit stehenmindestens zwei Garagenplätze zum Kauf. Hier gelangen Sie zu den Preisen und weiteren Informationen zu Hillview-Park:https://hillview-park.ch/projekt/Wir freuen uns darauf, Ihnen dieses einzigartige Projekt persönlich zu präsentieren.";3.5;150.0;2382660.0;4003.0;Aargau
Grand Champsec, 1950 Sion;Lot F-103 - Appartement de 3.5 pièces au 1er étage;"Fitness, sauna, salle de jeux et de réunion, potagers et plus encore...L'écoquartier « Greenparc » se situe dans le quartier de Champsec à Sion, à proximité de toutes les commodités et des transports publics.Ecrin de verdure intégré au tissu urbain, il offre des espaces de vie de haute qualité avec, notamment, des surfaces commerciales et des surfaces communes intérieures ou extérieures dédiées à votre bien-être.Il est composé de 8 immeubles à haute efficience énergétique et à l'architecture épurée. Totalisant 191 appartements allant du studio au 4.5 pièces, spacieux et confortables, vous y trouverez certainement votre futur cocon !La liste des appartements disponibles peut être consultée sur www.greenparc.immo.***Le lot F-103 est un appartement de 3.5 pièces de 60 m2 au1er étage, avec un balcon de 23 m2 distribué comme suit :. hall d'entrée. cuisine ouverte sur le séjour et chambre à coucher donnant accès au balcon. une salle de bain avec baignoire attenante à la chambre et WC séparé. une armoire avec colonne de lavage intégréeEn annexe : Place(s) de parking intérieure(s) prédéfinie(s) (en sus du prix) ; numéro(s), emplacement(s) et dimension(s) à consulter auprès de notre agence.";3.5;49.0;580690.0;2361.0;Valais
Hauptstrasse 17, 3535 Schüpbach;Reihenhaus in Schüpbach;;3.5;220.0;1080660.0;1234.0;Bern
6963 Pregassona;Nuovo appartamento di 2.5 locali con giardino a Pregassona;;2.5;59.0;1347570.0;5157.0;Tessin
Via Panigari, 6600 Locarno;Locarno Appartamento Cittavecchia;;3.5;47.0;885360.0;373.0;Tessin
Grand Champsec, 1950 Sion;Lot E-302 - Appartement de 3.5 pièces au 3ème étage;"Fitness, sauna, salle de jeux et de réunion, potagers et plus encore...L'écoquartier « Greenparc » se situe dans le quartier de Champsec à Sion, à proximité de toutes les commodités et des transports publics.Ecrin de verdure intégré au tissu urbain, il offre des espaces de vie de haute qualité avec, notamment, des surfaces commerciales et des surfaces communes intérieures ou extérieures dédiées à votre bien-être.Il est composé de 8 immeubles à haute efficience énergétique et à l'architecture épurée. Totalisant 191 appartements allant du studio au 4.5 pièces, spacieux et confortables, vous y trouverez certainement votre futur cocon !La liste des appartements disponibles peut être consultée sur www.greenparc.immo.***Le lot E-302 est un appartement de 3.5 pièces de 63 m2 au 3ème étage, avec un balcon de 13 m2 distribué comme suit :. hall d'entrée. cuisine ouverte sur le séjour donnant accès au balcon. une salle de bain avec baignoire et WC séparé. une chambre à coucher. une armoire avec colonne de lavage intégréeEn annexe : Place(s) de parking intérieure(s) prédéfinie(s) (en sus du prix) ; numéro(s), emplacement(s) et dimension(s) à consulter auprès de notre agence.";3.5;47.0;580690.0;2361.0;Valais
1941 Vollèges;Les Alvéoles - 3 villas de standing en terrasse;Vente sur plans : permis de construire en forceAvec sous-sol3 superbes villas placées sur un terrain légèrement en pente qui permet une vue splendide, ouverte et dégagée. Conception moderne et contemporaine, elles satisferont les plus exigeants ! Les atouts de l'intimité et privacité d'une villa, mais l'entretien en moins !Chaque villa a été soigneusement conçue pour offrir un espace de vie généreux et lumineux, avec des finitions haut de gamme et des matériaux de qualité. La proximité des commodités locales, des écoles, de la crêche ainsi que de l'UAPE et des transports en commun rend ces villas encore plus attrayantes. La parcelle se situe à 5 minutes à pied de la gare et à 1 minute à pied de l'arrêt de bus Cormeyeur qui dessert Sembrancher-Leuron.Caractéristiques :- orientation Sud-Ouest pour tous les lots- quartier calme, vue et dégagement imprenables- surfaces habitables confortables : 60 m2 environ pièces à vivre, chambre parents 24 m2, chambres secondes 12-17 m2- suite parentales master avec partie dressing, salle de bain privative- sous-sol pour chaque villa avec accès direct depuis l'intérieur allant de 22 à 30 m2- piscine possible en option- penderie d'entrée incluse- finitions à choix : budgets élevés et confortables en rapport avec le standing de la situation et de l'objet- sol proposé en parquet sur l'ensemble des pièces de vies (chambres, séjours, hall, distribution, escalier intérieur) pour un magnifique cachet, bien entendu modifiable si besoin (sauf cuisines et salles de bain)- cuisine ouverte avec îlot ou retour- terrasses en partie couvertes et balcon d'agrément pour la suite à l'étage- jardins privés- la villa centrale dispose d'une importante baie vitrée en toiture pour une luminosité optimale à l'étage- construction traditionnelle dans les règles de l'art : grande qualité - stores électriques parties jour- triple vitrage- baies coulissantes à levage- chauffage au sol par PAC- panneaux solaires- canal de fumée et cheminée inclus- emplacement de colonne de lavage - modifications possibles sur demandeDistribution des espaces, liste des lots disponibles et plans via dossier sur demande. Pour plus d'informations, nous sommes à votre disposition.*** TOUS NOS BIENS EN VENTE SUR WWW.BERRA-IMMOBILIER.CH;3.5;280.0;2070180.0;20941.0;Valais
Bündtenstrasse 7, 9, 5612 Villmergen;Perfekt für die Grossfamilie! 7 1/2-Zi.-EFH. Neu, hochwertig, attraktiv, freistehend. Ruhig zentral;;4.5;240.0;2130070.0;2291.0;Aargau
